Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed to execute command: No such file or directory
Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed at step EXEC spawning /opt/mysqld_exporter/mysqld_exporter: No such file or directory
Oct 31 16:12:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:12:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:12:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:12:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:12:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:12:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:13:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:13:10.973Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:13:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:13:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:13:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:13:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:13:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:13:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:14:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:14:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:14:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:14:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:14:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:14:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:14:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:14:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
